Year,Activity,Sex,Age,Fatality,Time,Day,Month,Destination
2017,Swimming,M,57,N,Afternoon,Friday,January,"Queensland, AUSTRALIA"
2017,Surfing,M,48,N,Morning,Monday,January,"Bali, INDONESIA"
2017,Wading,M,47,N,Afternoon,Thursday,January,"Florida, USA"
2016,Surfing,M,16,N,Evening,Tuesday,December,"Florida, USA"
2016,Surf skiing,M,55,N,Morning,Monday,December,"Western Cape Province, SOUTH AFRICA"
2016,Scuba diving,M,61,N,Morning,Wednesday,December,"Western Australia, AUSTRALIA"
2016,Surf fishing,M,20,N,Midnight,Tuesday,December,"New South Wales, AUSTRALIA"
2016,Surfing,M,65,N,Morning,Thursday,December,"New South Wales, AUSTRALIA"
2016,Fishing,M,73,N,Morning,Monday,November,"Victoria, AUSTRALIA"
2016,Floating,F,58,N,Morning,Monday,November,"Hawaii, USA"
2016,Surfing,M,41,N,Afternoon,Sunday,October,"Florida, USA"
2016,Surfing,M,42,N,Afternoon,Saturday,October,"Florida, USA"
2016,Surfing,M,36,N,Morning,Monday,October,"New South Wales, AUSTRALIA"
2016,Surfing,M,36,N,Evening,Friday,October,"Hawaii, USA"
2016,Snorkeling,F,66,N,Morning,Friday,October,"Hawaii, USA"
2016,Surfing,M,25,N,Morning,Wednesday,October,"New South Wales, AUSTRALIA"
2016,Surfing,M,29,N,Afternoon,Monday,October,"Oregon, USA"
2016,Surfing,M,21,N,Morning,Sunday,October,"Florida, USA"
2016,Surfing,M,32,N,Evening,Saturday,October,"Florida, USA"
2016,Surfing,M,17,N,Morning,Monday,September,"New South Wales, AUSTRALIA"
2016,Surfing,M,16,N,Afternoon,Sunday,September,"Florida, USA"
2016,Surfing,M,36,N,Morning,Sunday,September,"Florida, USA"
2016,Surfing,M,43,N,Morning,Sunday,September,"Florida, USA"
2016,Surfing,M,43,N,Afternoon,Saturday,September,"California, USA"
2016,Wading,M,60,N,Afternoon,Sunday,September,"Florida, USA"
2016,Swimming,F,51,N,Afternoon,Wednesday,September,"Hawaii, USA"
2016,Kite surfing,M,50,Y,Afternoon,Tuesday,September,"North Province, NEW CALEDONIA"
2016,Boogie boarding,F,12,N,Afternoon,Monday,September,"South Carolina, USA"
2016,Surfing,M,25,N,Afternoon,Monday,August,"Florida, USA"
2016,Surfing,M,37,N,Afternoon,Monday,August,"Florida, USA"
2016,Wading,M,49,N,Afternoon,Thursday,August,"Florida, USA"
2016,Stand-Up Paddleboarding Foil boarding,M,21,N,Afternoon,Saturday,August,"Hawaii, USA"
2016,Swimming,M,40,N,Morning,Friday,July,"Alicante Province, SPAIN"
2016,Surfing,M,18,N,Afternoon,Tuesday,July,"New South Wales, AUSTRALIA"
2016,Surfing,M,29,N,Morning,Sunday,July,"Kochi Prefecture, JAPAN"
2016,Fishing,M,31,N,Afternoon,Wednesday,July,"Queensland, AUSTRALIA"
2016,Surfing,F,9,N,Afternoon,Saturday,July,"Florida, USA"
2016,Kite surfing,M,61,N,Evening,Friday,July,"California, USA"
2016,Fishing,M,59,N,Morning,Thursday,July,"Massachusetts, USA"
2016,Swimming,F,42,N,Afternoon,Wednesday,July,"Florida, USA"
2016,Fishing,M,34,N,Night,Monday,July,"Queensland, AUSTRALIA"
2016,Surfing,M,11,N,Afternoon,Saturday,June,"North Carolina, USA"
2016,Scuba diving,M,59,N,Morning,Friday,June,"Isla Provedencia, COLUMBIA"
2016,Floating,M,42,N,Afternoon,Tuesday,June,"South Carolina, USA"
2016,Floating,F,6,N,Evening,Tuesday,June,"Texas, USA"
2016,Standing,M,19,N,Afternoon,Saturday,June,"North Carolina, USA"
2016,Swimming,M,64,N,Morning,Sunday,June,"Florida, USA"
2016,Scuba diving,F,60,Y,Morning,Sunday,June,"Western Australia, AUSTRALIA"
2016,Swimming,M,23,N,Morning,Saturday,June,"Suez, EGYPT"
2016,Surfing,M,29,Y,Afternoon,Tuesday,May,"Western Australia, AUSTRALIA"
2016,Swimming,F,52,N,Afternoon,Sunday,May,"California, USA"
2016,Swimming,M,13,N,Afternoon,Sunday,May,"Florida, USA"
2016,Swimming,F,57,N,Afternoon,Sunday,May,"Florida, USA"
2016,Swimming,F,22,N,Evening,Saturday,May,"Florida, USA"
2016,Swimming,F,11,N,Evening,Saturday,May,"Florida, USA"
2016,Swimming,M,48,N,Morning,Wednesday,May,"Florida, USA"
2016,Playing,F,23,N,Afternoon,Sunday,May,"Florida, USA"
2016,Floating,M,59,N,Afternoon,Tuesday,May,"Hawaii, USA"
2016,Fishing,M,39,N,Afternoon,Monday,May,"North Island, NEW ZEALAND"
2016,Surfing,M,24,N,Morning,Monday,April,"Bali, INDONESIA"
2016,Surfing,M,15,N,Evening,Saturday,April,"Florida, USA"
2016,Swimming,M,12,N,Afternoon,Tuesday,April,"New South Wales, AUSTRALIA"
2016,Spearfishing,M,26,N,Morning,Monday,April,"Tuamotus, FRENCH POLYNESIA"
2016,Walking,F,69,Y,Morning,Saturday,April,"Grand Terre, NEW CALEDONIA"
2016,Snorkeling,F,46,N,Morning,Thursday,March,"Hawaii, USA"
2016,Surfing,M,22,N,Morning,Wednesday,March,"New South Wales, AUSTRALIA"
2016,Surfing,M,41,N,Morning,Monday,March,"New South Wales, AUSTRALIA"
2016,Body surfing,M,19,N,Afternoon,Friday,March,"Florida, USA"
2016,Scuba diving,M,45,Y,Afternoon,Thursday,March,"Vanua Levu, Fiji"
2016,Kite surfing,M,21,N,Morning,Monday,February,"South Province, NEW CALEDONIA"
2016,Spearfishing,M,31,N,Afternoon,Friday,February,"South Province, NEW CALEDONIA"
2016,Walking,F,45,N,Afternoon,Friday,February,"Queensland, AUSTRALIA"
2016,Windsurfing,M,40,N,Afternoon,Thursday,February,"New South Wales, AUSTRALIA"
2016,Surfing,F,15,N,Morning,Monday,January,"Hawaii, USA"
2016,Paddle boarding,M,48,N,Morning,Saturday,January,"Hawaii, USA"
2016,Wading,M,11,N,Afternoon,Tuesday,January,"Queensland, AUSTRALIA"
2016,Spearfishing,M,31,N,Morning,Saturday,January,"Queensland, AUSTRALIA"
2015,Paddle boarding,M,71,N,Morning,Tuesday,December,"Hawaii, USA"
2015,Surfing,M,43,N,Morning,Monday,December,"New South Wales, AUSTRALIA"
2015,Swimming,F,22,N,Morning,Tuesday,December,"Eastern Cape Province, SOUTH AFRICA"
2015,Snorkeling,M,55,N,Morning,Friday,November,"Galapagos Islands, ECUADOR"
2015,Surfing,M,20,N,Evening,Tuesday,November,"New South Wales, AUSTRALIA"
2015,Swimming,M,54,N,Morning,Tuesday,November,"Hawaii, USA"
2015,Wading,F,28,N,Afternoon,Sunday,November,"Florida, USA"
2015,Fishing,M,19,N,Midnight,Sunday,November,"Inhambane Province, MOZAMBIQUE"
2015,Body boarding,M,10,N,Afternoon,Wednesday,October,"Hawaii, USA"
2015,Surfing,M,42,N,Afternoon,Sunday,October,"Western Cape Province, SOUTH AFRICA"
2015,Surfing,M,21,N,Afternoon,Wednesday,October,"Florida, USA"
2015,Surfing,M,21,N,Afternoon,Monday,October,"Florida, USA"
2015,Swimming,M,44,N,Morning,Saturday,October,"Hawaii, USA"
2015,Boogie boarding,F,9,N,Afternoon,Friday,October,"South Carolina, USA"
2015,Surfing,M,25,N,Morning,Friday,October,"Hawaii, USA"
2015,Surfing,M,18,N,Afternoon,Wednesday,October,"Western Australia, AUSTRALIA"
2015,Body boarding,M,22,N,Afternoon,Monday,October,"Florida, USA"
2015,Wading,M,13,N,Morning,Monday,October,"Texas, USA"
2015,Surfing,M,14,N,Morning,Sunday,October,"Florida, USA"
2015,Surfing,M,22,N,Afternoon,Tuesday,September,"Florida, USA"
2015,Snorkeling,F,7,N,Afternoon,Saturday,September,"Queensland, AUSTRALIA"
2015,Surfing,M,14,N,Afternoon,Sunday,September,"Florida, USA"
2015,Spearfishing,M,27,N,Afternoon,Sunday,September,"Hawaii, USA"
2015,Wading,M,12,N,Afternoon,Sunday,September,"Florida, USA"
2015,Photographing fish,M,16,N,Morning,Sunday,September,"Florida, USA"
2015,Surfing,M,20,N,Afternoon,Thursday,September,"Florida, USA"
2015,Surfing,M,42,N,Morning,Tuesday,September,"New South Wales, AUSTRALIA"
2015,Stand-Up Paddleboarding,F,50,N,Evening,Sunday,September,"California, USA"
2015,Kayak fishing,M,29,N,Afternoon,Saturday,September,"California, USA"
2015,Surf skiing,M,62,N,Morning,Friday,September,"New South Wales, AUSTRALIA"
2015,Wading,F,37,N,Morning,Tuesday,September,"Phuket, THAILAND"
2015,Surfing,F,54,N,Morning,Saturday,August,"California, USA"
2015,Surfing,M,21,N,Morning,Saturday,August,"California, USA"
2015,Surfing,M,38,N,Evening,Saturday,August,"New South Wales, AUSTRALIA"
2015,Surfing,M,15,N,Afternoon,Thursday,August,"South Carolina, USA"
2015,Walking,F,10,N,Afternoon,Wednesday,August,"Florida, USA"
2015,Kayak fishing,M,22,N,Morning,Tuesday,August,"California, USA"
2015,Spearfishing,M,57,N,Morning,Monday,August,"California, USA"
2015,Surfing,M,52,N,Morning,Friday,July,"New South Wales, AUSTRALIA"
2015,Surfing,M,25,N,Morning,Sunday,July,"Florida, USA"
2015,Scuba diving,M,46,Y,Morning,Saturday,July,"Tasmania, AUSTRALIA"
2015,Surfing,M,38,N,Morning,Friday,July,"California, USA"
